ID,Artist Name,Birth Date,Death Date,
0,Pablo Picasso,1881/10/25,1973/04/08,
1,Vincent van Gogh,1853/03/30,1890/07/29,
2,Salvador Dali,1904/05/11,1989/01/23,
3,Andy Warhol,1928/08/06,1987/02/22,
4,Leonardo da Vinci,1452/04/15,1519/05/02,
5,Claude Monet,1840/11/14,1926/12/05,
6,Henri Matisse,1869/12/31,1954/11/03,
7,Piet Mondrian,1874/03/07,1944/02/01,
8,Georgia O'Keeffe,1887/11/15,1986/03/06,
9,Edgar Degas,1834/07/19,1917/09/27,
10,Marcel Duchamp,1887/07/28,1968/10/02,
11,Jackson Pollock,1912/01/28,1956/08/11,
12,Gustav Klimt,1862/07/14,1918/02/06,
13,Paul Cezanne,1839/01/19,1906/10/22,
14,Rembrandt,1606/07/15,1669/10/04,
15,Paul Klee,1879/12/18,1940/06/29,
16,Frida Kahlo,1907/07/06,1954/07/13,
17,Joan Miro,,1983/12/25,
18,Paul Gauguin,1848/06/07,1903/05/08,
19,Edvard Munch,1863/12/12,1944/01/23,
20,Pierre-Auguste Renoir,,00000000,
21,Roy Lichtenstein,,00000000,
22,Raphael,,00000000,
23,Marc Chagall,1887/07/07,1985/03/28,
24,Rene Magritte,,00000000,
25,Johannes Vermeer,,00000000,
26,Georges Seurat,,00000000,
27,Mark Rothko,,00000000,
28,Edward Hopper,1882/07/22,1967/05/15,
29,Keith Haring,1958/05/04,1990/02/16,
30,Jasper Johns,1930/05/15,1930/05/15,
31,Edouard Manet,1832/01/23,1883/04/30,
32,Caravaggio,1571/09/29,1610/07/18,
33,Grant Wood,1891/02/13,1942/02/12,
34,Francisco Goya,1746/03/30,1828/04/16,
35,Titian,,1576/08/27,
36,Norman Rockwell,1894/02/03,1978/11/08,
37,Peter Paul Rubens,,00000000,
38,Willem de Kooning,,00000000,
39,Sandro Botticelli,1445/03/01,1510/05/17,
40,Diego Rivera,1886/12/08,1957/11/24,
41,El Greco,1541/??/??,1614/04/07,
42,Mary Cassatt,,00000000,
43,Albrecht Durer,1471/05/21,1528/04/06,
44,Jean-Michel Basquiat,1960/12/22,1988/08/12,
45,Camille Pissarro,1830/07/10,1903/11/13,
46,Pieter Bruegel the Elder,,00000000,
47,Georges Braque,1882/05/13,1963/08/31,
48,Damien Hirst,1965/06/07,1965/06/07,
49,Gerhard Richter,1932/09/02,00000000,"
"
50,Mike Kelley,,00000000,
51,John Baldessari,,00000000,
52,Matthew Barney,1967/03/25,1967/03/25,
53,Albert Oehlen,,00000000,
54,Richard Prince,,00000000,
55,Vito Acconci,,00000000,
56,Anish Kapoor,,00000000,
57,Louise Bourgeois,,00000000,
58,Jose Bemal,,00000000,
